Imię;Nazwisko;Narodowość;Data urodzenia;Miejsce urodzenia;Pesel;Nr telefonu;Adres zamieszkania;ID;Historia leczenia;Przyjmowane leki
Ida;Kowalska;polska;03.12.1936;Jaworzyna Śląska;36120348845;856078203;Gdańsk, ul.Jesionowa 28/6;65;szczepienie przeciw grypie, wizyta kontrolna, szczepienie przeciw COVID, szczepienie przeciw grypie;Dobrovit, Pigulex, Nerwostop, Pythonex,  Xarelto, Eltroxin
Iga;Laskowska;polska;15.02.2002;Siedlce;02221586204;556816898;Gdańsk, ul.Jodłowa 51/13;66;rozpoznanie zapalenia ucha, rozpoznanie zapalenia oka, rozpoznanie anginy, rozpoznanie zapalenia zatok;Neurospam, Luxon, Apaton, Modulox, Dobrovit, Pryszczosiox
Irena;Zieliński;polska;26.10.1964;Żnin;64102663808;594161471;Gdynia, ul.Joselewicza 44/6;67;rozpoznanie zapalenia oka, rozpoznanie anginy, rozpoznanie zapalenia oka, teleporada;Eltroxin, Pythonex, Tabletex, Uroksyt, Kaszelix, Uranox
Iza;Górska;polska;17.12.1949;Łobżenica;49121726943;580712365;Gdynia, ul.Junacka 8/10;68;rozpoznanie zapalenia zatok, szczepienie przeciw COVID, rozpoznanie zapalenia zatok, rozpoznanie zapalenia ucha;Pryszczosiox, Syropex, Katarix, Dobrovit, Nerwostop, Szelazo
Izabela;Kalinowski;polska;02.04.1954;Miłakowo;54040280463;557340469;Gdańsk, ul.Kaczeńce 51/14;69;rozpoznanie zapalenia ucha, wizyta kontrolna, szczepienie przeciw COVID, rozpoznanie ospy;Zaparciovit, Neptunox, Eltroxin, Uroksyt, Syropex, Strzykawex
Jagoda;Nowak;polska;31.08.1941;Pieńsk;41083198383;777234172;Gdańsk, ul.Kaletnicza 50/19;70;rozpoznanie zapalenia ucha, rozpoznanie zapalenia ucha, wizyta kontrolna, rozpoznanie anginy;Neurospam, Uroksyt, Strzykawex,  Xarelto, Nerwostop, Syropex
Janusz;Gajewska;polska;11.06.1932;Grajewo;32061179577;926632442;Gdańsk, ul.Kamienna Grobla 6/16;71;rozpoznanie ospy, teleporada, teleporada, rozpoznanie ospy;Uroksyt, Pryszczosiox, Pryszczosiox, Squlex, Apaton, Uroksyt
Jarosław;Borkowski;polska;04.08.1955;Janikowo;55080452539;866691558;Gdańsk, ul.Kapitańska 54/18;72;szczepienie przeciw grypie, rozpoznanie zapalenia zatok, rozpoznanie zapalenia oka, rozpoznanie grypy;Cholerox, Uranox, Siofor, Squlex, Cholerox, Letrox
Joanna;Jakubowski;polska;06.11.1932;Lewin Brzeski;32110667200;811182390;Gdańsk, ul.Kapliczna 63/13;73;rozpoznanie anginy, teleporada, szczepienie przeciw COVID, szczepienie przeciw COVID;Szelazo, Luxon, Szelazo, Nerwostop, Neptunox, Zaparciovit
Joanna;Marciniak;polska;12.08.1986;Mińsk Mazowiecki;86081228986;869287571;Gdańsk, ul.Kaprów 15/16;74;teleporada, rozpoznanie grypy, teleporada, teleporada;Biegunex, Pryszczosiox, Uranox, Biegunex, Kaszelix, Tabletex
Jola;Lewandowski;polska;20.08.1936;Wysoka;36082042665;861148477;Gdynia, ul.Karlikowska 68/17;75;rozpoznanie zapalenia oka, szczepienie przeciw COVID, rozpoznanie anginy, rozpoznanie zapalenia oka;Strzykawex, Bezanielox, Syropex, Letrox, Sennostart, Katarix
Jolanta;Ostrowska;polska;20.10.1956;Gdańsk;56102051684;846652038;Gdańsk, ul.Karmelicka 66/18;76;szczepienie przeciw grypie, rozpoznanie zapalenia oka, szczepienie przeciw grypie, rozpoznanie anginy;Dobrovit, Katarix, Dobrovit, Syropex, Bezanielox, Exelix
Jowita;Urbańska;polska;11.11.1941;Lubomierz;41111129060;844517969;Sopot, ul.Karpia 25/5;77;wizyta kontrolna, szczepienie przeciw grypie, rozpoznanie grypy, wizyta kontrolna;Luxon, Pigulex, Uranox, Katarix, Formetic, Tabletex
Jowita;Makowska;polska;08.11.2018;Swarzędz;18310866449;932435486;Gdańsk, ul.Kartuska 26/14;78;teleporada, wizyta kontrolna, teleporada, rozpoznanie zapalenia oka;Neurospam, Modulox, Squlex, Modulox, Pythonex, Exelix
Józef;Wójcik;polska;26.07.1964;Wrocław;64072625772;583948656;Gdańsk, ul.Karwieńska 47/18;79;rozpoznanie ospy, rozpoznanie zapalenia oka, rozpoznanie grypy, szczepienie przeciw COVID;Syropex, Nerwostop, Apaton, Pryszczosiox, Syropex, Saturnox
Józef;Wójcik;polska;23.02.1937;Karpacz;37022393236;720639324;Gdańsk, ul.Karłowicza 27/1;80;rozpoznanie zapalenia ucha, rozpoznanie zapalenia oka, rozpoznanie zapalenia oka, rozpoznanie zapalenia zatok;Biegunex, Squlex, Uranox, Biegunex, Tabletex, Modulox
Józefa;Kubiak;polska;02.03.1994;Tuchów;94030284301;967169489;Gdańsk, ul.Kasprowicza 15/8;81;rozpoznanie ospy, wizyta kontrolna, rozpoznanie zapalenia zatok, rozpoznanie zapalenia oka;Katarix, Uroksyt, Neurospam, Syropex, Neptunox, Bezanielox
Julianna;Andrzejewski;polska;28.10.1982;Kudowa-Zdrój;82102894448;812074427;Gdańsk, ul.Kasprowicza 6/15;82;szczepienie przeciw grypie, rozpoznanie zapalenia zatok, szczepienie przeciw grypie, rozpoznanie zapalenia oka;Kaszelix, Pryszczosiox, Uranox, Neurospam, Javonex, Katarix
Julianna;Górski;polska;23.08.1969;Suwałki;69082331325;900066194;Sopot, ul.Kasztanowa 45/2;83;rozpoznanie zapalenia zatok, rozpoznanie zapalenia zatok, szczepienie przeciw grypie, rozpoznanie zapalenia ucha;Eltroxin, Pryszczosiox, Bezanielox, Biegunex, Sennostart, Dobrovit
Julita;Nowak;polska;07.12.1984;Lidzbark;84120781108;701494702;Gdańsk, ul.Katarzynki 12/19;84;rozpoznanie zapalenia ucha, rozpoznanie grypy, rozpoznanie zapalenia zatok, rozpoznanie ospy;Apaton, Zaparciovit, Apaton, Letrox, Strzykawex, Uroksyt
Julita;Zielińska;polska;16.12.1964;Brwinów;64121672506;970602271;Gdańsk, ul.Kazimierza Wielkiego 69/19;85;rozpoznanie anginy, rozpoznanie ospy, rozpoznanie zapalenia oka, rozpoznanie zapalenia oka;Pigulex, Pryszczosiox, Letrox,  Xarelto, Letrox, Pythonex
Juliusz;Kołodziej;polska;13.06.2020;Wojkowice;20261350876;781329195;Gdańsk, ul.Kaznodziejska 47/12;86;szczepienie przeciw grypie, rozpoznanie grypy, wizyta kontrolna, szczepienie przeciw COVID;Zaparciovit, Eltroxin,  Xarelto, Sennostart, Luxon, Squlex
Justyna;Wróblewski;polska;22.08.1931;Kunów;31082295662;760135145;Gdynia, ul.Kaznodziejska 66/10;87;rozpoznanie anginy, rozpoznanie ospy, rozpoznanie zapalenia oka, rozpoznanie ospy;Javonex, Tabletex, Szelazo, Luxon, Katarix, Cholerox
Kacper;Wojciechowski;polska;07.04.1954;Ostrów Wielkopolski;54040794618;806580434;Gdynia, ul.Kieturakisa 64/17;88;rozpoznanie anginy, szczepienie przeciw grypie, szczepienie przeciw grypie, szczepienie przeciw grypie;Szelazo, Exelix, Javonex, Tabletex, Exelix, Pigulex
Kaja;Jasiński;polska;20.05.2004;Iwonicz-Zdrój;04252094145;585887946;Gdańsk, ul.Kilińskiego 45/17;89;wizyta kontrolna, szczepienie przeciw COVID, rozpoznanie zapalenia zatok, rozpoznanie ospy;Pigulex, Pythonex, Tabletex, Modulox, Biegunex, Luxon
Kajetan;Lis;polska;09.07.2018;Grabów nad Prosną;18270969619;854498302;Gdańsk, ul.Kisielewskiego 4/16;90;rozpoznanie zapalenia oka, teleporada, rozpoznanie ospy, rozpoznanie ospy;Katarix, Javonex, Tabletex, Sennostart, Exelix, Modulox
Katarzyna;Andrzejewska;polska;21.09.2008;Lwówek Śląski;08292165900;703220041;Gdańsk, ul.Klesza 9/11;91;szczepienie przeciw grypie, rozpoznanie zapalenia zatok, szczepienie przeciw COVID, rozpoznanie ospy;Tabletex, Formetic, Letrox, Modulox, Bezanielox, Luxon
Klaudia;Wójcik;polska;19.04.2012;Złocieniec;12241956204;558872570;Gdańsk, ul.Kliniczna 62/20;92;rozpoznanie grypy, szczepienie przeciw COVID, szczepienie przeciw COVID, rozpoznanie zapalenia oka;Uroksyt, Syropex, Bezanielox, Szelazo, Dobrovit, Katarix
Klaudia;Kubiak;polska;09.03.1961;Frombork;61030986489;594038686;Gdańsk, ul.Klonowa 39/18;93;rozpoznanie anginy, rozpoznanie zapalenia ucha, teleporada, rozpoznanie zapalenia oka;Pryszczosiox, Exelix, Neptunox, Squlex, Luxon, Bezanielox
Klementyna;Kołodziej;polska;15.06.1963;Szczytno;63061571809;926106217;Gdańsk, ul.Klonowicza 30/8;94;szczepienie przeciw COVID, rozpoznanie grypy, rozpoznanie grypy, rozpoznanie grypy;Uranox, Modulox, Pryszczosiox, Szelazo, Sennostart, Neurospam
Konstancja;Kwiatkowski;polska;03.02.1942;Żory;42020361989;696410086;Gdynia, ul.Kmieca 68/15;95;rozpoznanie grypy, rozpoznanie zapalenia zatok, wizyta kontrolna, szczepienie przeciw COVID;Syropex, Tabletex, Squlex, Javonex, Cholerox, Cholerox
