imie;nazwisko;narodowoœæ;data urodzenia;miejsce urodzenia;pesel;numer telefonu;adres zamieszkania;identyfikator pacjenta
Krzysztof;Górecki;polska;06.02.1993;Wodzis³aw Œl¹ski;93020627757;861343383;Gdañsk, ul.Koœciuszki 46/12;101
Leonardo;Andrzejewski;polska;13.12.1982;Strzelin;82121394996;585588412;Gdañsk, ul.Koœciuszki 39/6;102
Leonardo;Borkowski;polska;20.09.1957;Pe³czyce;57092060498;506945086;Sopot, ul.Koœciuszki 37/9;103
Lidia;D¹browski;polska;23.07.1980;Czarnków;80072382004;954040516;Gdañsk, ul.Koœciuszki 27/7;104
Lidia;Górecki;polska;07.03.1944;Brwinów;44030712520;612506607;Gdañsk, ul.Kramarska 50/16;105
Lidia;Sikora;polska;17.08.1969;Czerwieñsk;69081738482;571251070;Gdañsk, ul.Krasickiego 51/14;106
Liliana;Ostrowski;polska;06.07.1944;Stêszew;44070649868;846875416;Gdynia, ul.Krasickiego 44/15;107
Liliana;Piotrowski;polska;23.07.1970;Ciê¿kowice;70072354145;517631767;Gdynia, ul.Krasickiego 50/16;108
Liliana;Jasiñska;polska;29.06.1931;Braniewo;31062964645;977943079;Gdañsk, ul.Kraszewskiego 8/7;109
Lucjan;Szczepañski;polska;31.08.1933;Otwock;33083191312;859308203;Gdañsk, ul.Krosienka 68/3;110
£ukasz;Sadowska;polska;11.10.2015;Z³ocieniec;15301163277;995230942;Gdañsk, ul.Krosna 43/17;111
Magda;Czarnecka;polska;12.10.2001;Paczków;1301287666;730863876;Gdañsk, ul.Krowia 23/2;112
Maksymilian;Wysocki;polska;28.09.1952;Lublin;52092868916;894596006;Gdañsk, ul.Krowoderska 58/15;113
Malwina;Zalewski;polska;05.05.1994;Frampol;94050522960;959101356;Gdañsk, ul.Kryniczna 16/10;114
Ma³gorzata;Sikora;polska;28.05.1981;Piekary Œl¹skie;81052813165;501579588;Gdynia, ul.Krzemienieckiej 11/5;115
Marcela;Andrzejewska;polska;13.03.1949;Lidzbark Warmiñski;49031329106;707905336;Gdañsk, ul.Krzywa 2/13;116
Marcelina;Stêpieñ;polska;22.07.1948;Nowogród;48072265943;790241365;Sopot, ul.Krzywoustego 8/18;117
Marcelina;Krupa;polska;28.06.1950;Bydgoszcz;50062813865;742629309;Gdañsk, ul.Królikarnia 54/15;118
Marcin;Soko³owski;polska;05.06.1987;Janów Lubelski;87060587836;911245031;Gdañsk, ul.Królikarnia 19/15;119
Marcin;Jasiñski;polska;23.09.1994;Jasieñ;94092369790;836386797;Gdañsk, ul.Królowej Jadwigi 39/14;120
Marek;Stêpieñ;polska;06.05.2003;Prusice;3250611459;879838675;Gdañsk, ul.Krótka 15/12;121
Marian;Górski;polska;13.08.1962;Zab³udów;62081359376;721994245;Gdañsk, ul.Krêckiego 59/7;122
Mariusz;W³odarczyk;polska;16.02.1950;Rajgród;50021612218;764216155;Sopot, ul.Krêta 49/6;123
Martyna;Sadowska;polska;08.12.2004;Golina;4320877584;607517365;Gdañsk, ul.Ksi¹¿¹t Pomorskich 36/6;124
Martyna;Sikorska;polska;20.06.2004;Brzeszcze;4262012645;937080963;Gdañsk, ul.Ksiê¿a 31/19;125
Milena;Koz³owski;polska;01.02.1969;Daleszyce;69020167223;535739463;Gdañsk, ul.Ku Ujœciu 34/6;126
Miron;Jaworski;polska;22.01.1993;Hajnówka;93012223752;639675551;Gdynia, ul.Kubacza 38/12;127
Miros³aw;Czarnecki;polska;18.04.1992;Œwidnica;92041848639;708812632;Gdynia, ul.Kubacza 15/17;128
Miros³awa;Zakrzewska;polska;14.03.1943;Alwernia;43031476165;751482564;Gdañsk, ul.Kujawska 44/10;129
Monika;Sadowska;polska;22.06.2004;Piotrków Trybunalski;4262225300;768910349;Gdañsk, ul.Kumoszek 30/8;130
Natan;Pietrzak;polska;13.02.1998;Szczytna;98021393733;513314418;Gdañsk, ul.Kunickiego 51/6;131
Nina;WoŸniak;polska;21.09.1932;¯elechów;32092177669;576681617;Gdañsk, ul.Kupiecka 36/3;132
Norbert;B³aszczyk;polska;11.10.1979;£êczna;79101119250;563054623;Gdañsk, ul.Kurkowa 44/12;133
Oksana;Szulc;polska;26.06.2000;Be³chatów;262695080;741762502;Gdañsk, ul.Kurza 24/14;134
Oktawia;Jaworska;polska;04.09.1949;Radom;49090422820;915269775;Gdynia, ul.Kuœnierska 34/13;135
Ola;Sikora;polska;14.07.2020;B³onie;20271450928;666724465;Gdañsk, ul.KuŸnia Wodna 35/15;136
Olaf;Krawczyk;polska;14.03.1967;Wêgliniec;67031459557;918508757;Sopot, ul.Legionów 18/5;137
Otylia;Krajewska;polska;10.06.2006;Gdynia;6261045406;996106404;Gdañsk, ul.Kwietna 66/18;138
Pamela;Wójcik;polska;16.10.1939;Tomaszów Lubelski;39101697060;727051298;Gdañsk, ul.K³adki 59/3;139
Pamela;Szczepañska;polska;08.09.1939;Przemyœl;39090863600;900379651;Gdañsk, ul.Lawendowa 68/11;140
Paulina;Sikora;polska;23.11.1963;Hel;63112350782;597543560;Gdañsk, ul.Latarniana 41/10;141
Pawe³;Laskowska;polska;24.11.2002;Zelów;2312482754;963110095;Gdañsk, ul.K³osowa 16/13;142
Piotr;Gajewska;polska;18.02.1984;Andrychów;84021837775;733859939;Sopot, ul.Langiewicza 9/4;143
Rados³aw;Walczak;polska;28.07.1971;Toruñ;71072899410;688368651;Gdañsk, ul.Lastadia 46/11;144
Roksana;Jakubowska;polska;30.08.1950;Izbica Kujawska;50083018100;897752301;Gdañsk, ul.Obroñców Westerplatte 26/11;145
Ró¿a;Urbañska;polska;03.02.1961;Ka³uszyn;61020322408;697293122;Gdañsk, ul.Obywatelska 4/18;146
Stanis³awa;Walczak;polska;06.02.1968;Rypin;68020689403;720547201;Gdynia, ul.Odrzañska 28/16;147
Stefania;Gajewska;polska;12.11.2000;E³k;311274862;503571571;Gdynia, ul.Ogarna 54/12;148
Teresa;Kucharska;polska;06.06.2012;Karczew;12260672024;617856529;Gdañsk, ul.Ogrodowa 33/9;149
Wanda;Mazurek;polska;16.05.1944;W³oc³awek;44051635509;829295949;Gdañsk, ul.Pelpliñska 5/11;150
Weronika;Piotrowski;polska;23.12.1997;Bolków;97122375680;763048222;Gdañsk, ul.Piastowska 44/6;151
¯aneta;Sawicki;polska;18.05.2018;Gdynia;18251811425;884067339;Gdañsk, ul.Poznañska 14/2;152
